source,target
'Radiohead','Coldplay'
'Radiohead','David Bowie'
'Radiohead','Coldplay'
'Radiohead','Muse'
'Radiohead','The Cure'
'David Bowie','Coldplay'
'David Bowie','Muse'
'David Bowie','The Cure'
'Coldplay','Muse'
'Coldplay','The Cure'
'Muse','The Cure'
'Radiohead','Massive Attack'
'David Bowie','Pink Floyd'
'David Bowie','The Rolling Stones'
'David Bowie','The Beatles'
'Pink Floyd','The Rolling Stones'
'Pink Floyd','The Beatles'
'The Rolling Stones','The Beatles'
'Radiohead','Coldplay'
'Radiohead','Muse'
'Coldplay','Muse'
'David Bowie','The Cure'
'The Rolling Stones','The Beatles'
'The Rolling Stones','The Beatles'
'Radiohead','David Bowie'
'Radiohead','Pink Floyd'
'Radiohead','Coldplay'
'Radiohead','Muse'
'Radiohead','Metallica'
'Radiohead','The Cure'
'Radiohead','The Rolling Stones'
'Radiohead','The Beatles'
'David Bowie','Pink Floyd'
'David Bowie','Coldplay'
'David Bowie','Muse'
'David Bowie','Metallica'
'David Bowie','The Cure'
'David Bowie','The Rolling Stones'
'David Bowie','The Beatles'
'Pink Floyd','Coldplay'
'Pink Floyd','Muse'
'Pink Floyd','Metallica'
'Pink Floyd','The Cure'
'Pink Floyd','The Rolling Stones'
'Pink Floyd','The Beatles'
'Coldplay','Muse'
'Coldplay','Metallica'
'Coldplay','The Cure'
'Coldplay','The Rolling Stones'
'Coldplay','The Beatles'
'Muse','Metallica'
'Muse','The Cure'
'Muse','The Rolling Stones'
'Muse','The Beatles'
'Metallica','The Cure'
'Metallica','The Rolling Stones'
'Metallica','The Beatles'
'The Cure','The Rolling Stones'
'The Cure','The Beatles'
'The Rolling Stones','The Beatles'
'Pink Floyd','Muse'
